qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,66659,33726,100385
fin_a_001,AB,3462,1797,5259
fin_a_002,D,3248,1751,4999
fin_a_003,A,3312,782,4094
fin_a_004,D,3279,587,3866
fin_a_005,,3075,2183,5258
fin_a_006,B,3577,993,4570
fin_a_007,CD,3390,1676,5066
fin_a_008,D,3147,1536,4683
fin_a_009,A,3335,2744,6079
fin_a_010,B,3589,312,3901
fin_a_011,D,3275,1397,4672
fin_a_012,A,3291,2588,5879
fin_a_013,B,3448,530,3978
fin_a_014,CD,3181,1356,4537
fin_a_015,A,3328,4896,8224
fin_a_016,D,3412,1732,5144
fin_a_017,ABCD,3256,1380,4636
fin_a_018,B,3338,418,3756
fin_a_019,A,3410,1920,5330
fin_a_020,A,3306,3148,6454
