qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,31577,13940,45517
fc_a_001,ABCD,836,400,1236
fc_a_002,ABCD,831,400,1231
fc_a_003,A,3131,1196,4327
fc_a_004,ABCD,854,400,1254
fc_a_005,ABCD,842,400,1242
fc_a_006,B,3103,1684,4787
fc_a_007,ABC,831,400,1231
fc_a_008,A,3341,1901,5242
fc_a_009,ABCD,876,400,1276
fc_a_010,A,3195,1015,4210
fc_a_011,ABCD,849,400,1249
fc_a_012,ABCD,883,400,1283
fc_a_013,B,810,339,1149
fc_a_014,ABCD,863,400,1263
fc_a_015,B,3615,1397,5012
fc_a_016,ABCD,854,400,1254
fc_a_017,ABCD,845,400,1245
fc_a_018,B,3322,1208,4530
fc_a_019,ABCD,847,400,1247
fc_a_020,ABCD,849,400,1249
